PRODUCT,furtherDesc,TYPE,MATERIAL,1.5,1.6,1.67,1.74,EYELT,3DFF,RFP,21BC,PDOI,PO,FDT,INDILT,BIGN
LIFE FREE 2,An entry level to experience Rodenstock's premium progressive vision.,PAL,PRO 410,-,2300,2700,-,Y,Y,Y,N,N,N,Balance,N,N
LIFE FREE 2,An entry level to experience Rodenstock's premium progressive vision.,PAL,COLORMATIC,2500,2900,3300,-,Y,Y,Y,N,N,N,Balance,N,N
IMPRESSION BIG NORM ERGO,See the best possible with every Rodenstock's technology to maximize your vision. Ideal for complex prescription.,NPAL,UV 400,3650,4000,4400,5900,Y,Y,Y,Y,Y,Y,N,Y,Y
IMPRESSION BIG NORM ERGO,See the best possible with every Rodenstock's technology to maximize your vision. Ideal for complex prescription.,NPAL,PRO 410,-,4200,4600,-,Y,Y,Y,Y,Y,Y,N,Y,Y
MULTIGRESSIV BIG NORM ERGO,Almost the best lens in Rodenstock's near progressive range. May be affected by spectacle frame tilt.,NPAL,UV 400,3050,3400,3800,5300,Y,Y,Y,Y,Y,Y,N,N,Y
MULTIGRESSIV BIG NORM ERGO,Almost the best lens in Rodenstock's near progressive range. May be affected by spectacle frame tilt.,NPAL,PRO 410,-,3600,4000,-,Y,Y,Y,Y,Y,Y,N,N,Y
MULTIGRESSIV ERGO 2,A standard design that is customized to your preferred intermediate  vision length.,NPAL,UV 400,2300,2700,3100,-,Y,Y,Y,Y,Y,N,N,N,N
MULTIGRESSIV ERGO 2,A standard design that is customized to your preferred intermediate  vision length.,NPAL,PRO 410,-,2900,3300,-,Y,Y,Y,Y,Y,N,N,N,N
PROGRESSIV ERGO 2,An entry level to experience Rodenstock's premium near progressive vision.,NPAL,UV 400,1700,2100,2500,-,Y,Y,Y,N,N,N,N,N,N
PROGRESSIV ERGO 2,An entry level to experience Rodenstock's premium near progressive vision.,NPAL,PRO 410,-,2300,2700,-,Y,Y,Y,N,N,N,N,N,N
IMPRESSION BIG NORM MONO,See the best possible with every Rodenstock's technology to maximize your vision. Ideal for complex prescription.,SV,UV 400,3350,3700,4100,5600,N,Y,Y,Y,N,Y,N,Y,Y
IMPRESSION BIG NORM MONO,See the best possible with every Rodenstock's technology to maximize your vision. Ideal for complex prescription.,SV,PRO 410,-,3900,4300,-,N,Y,Y,Y,N,Y,N,Y,Y
IMPRESSION BIG NORM MONO,See the best possible with every Rodenstock's technology to maximize your vision. Ideal for complex prescription.,SV,COLORMATIC,4150,4500,4900,-,N,Y,Y,Y,N,Y,N,Y,Y
IMPRESSION BIG NORM MONO,See the best possible with every Rodenstock's technology to maximize your vision. Ideal for complex prescription.,SV,COLORMATIC SUN,-,4600,-,-,N,Y,Y,Y,N,Y,N,Y,Y
IMPRESSION BIG NORM MONO,See the best possible with every Rodenstock's technology to maximize your vision. Ideal for complex prescription.,SV,POLARISED,-,4500,-,-,N,Y,Y,Y,N,Y,N,Y,Y
IMPRESSION BIG NORM MONO,See the best possible with every Rodenstock's technology to maximize your vision. Ideal for complex prescription.,SV,ROAD,3550,4070,4120,-,N,Y,Y,Y,N,Y,N,Y,Y
IMPRESSION BIG NORM MONO PLUS,See the best possible with every Rodenstock's technology to maximize your vision. Ideal for complex prescription.,AF,UV 400,3600,3950,4350,5850,Y,Y,Y,Y,N,Y,N,Y,Y
IMPRESSION BIG NORM MONO PLUS,See the best possible with every Rodenstock's technology to maximize your vision. Ideal for complex prescription.,AF,PRO 410,-,4150,4550,-,Y,Y,Y,Y,N,Y,N,Y,Y
IMPRESSION BIG NORM MONO PLUS,See the best possible with every Rodenstock's technology to maximize your vision. Ideal for complex prescription.,AF,COLORMATIC,4400,4750,5150,-,Y,Y,Y,Y,N,Y,N,Y,Y
IMPRESSION BIG NORM MONO PLUS,See the best possible with every Rodenstock's technology to maximize your vision. Ideal for complex prescription.,AF,COLORMATIC SUN,-,4850,-,-,Y,Y,Y,Y,N,Y,N,Y,Y
IMPRESSION BIG NORM MONO PLUS,See the best possible with every Rodenstock's technology to maximize your vision. Ideal for complex prescription.,AF,POLARISED,-,4750,-,-,Y,Y,Y,Y,N,Y,N,Y,Y
IMPRESSION BIG NORM MONO PLUS,See the best possible with every Rodenstock's technology to maximize your vision. Ideal for complex prescription.,AF,ROAD,3800,4320,4370,-,Y,Y,Y,Y,N,Y,N,Y,Y
MULTIGRESSIV BIG NORM MONO,Almost the best lens in Rodenstock's single vision range. May be affected by spectacle frame tilt.,SV,UV 400,2850,3200,3600,5100,N,Y,Y,Y,N,Y,N,N,Y
MULTIGRESSIV BIG NORM MONO,Almost the best lens in Rodenstock's single vision range. May be affected by spectacle frame tilt.,SV,PRO 410,-,3400,3800,-,N,Y,Y,Y,N,Y,N,N,Y
MULTIGRESSIV BIG NORM MONO,Almost the best lens in Rodenstock's single vision range. May be affected by spectacle frame tilt.,SV,COLORMATIC,3650,4000,4400,-,N,Y,Y,Y,N,Y,N,N,Y
MULTIGRESSIV BIG NORM MONO,Almost the best lens in Rodenstock's single vision range. May be affected by spectacle frame tilt.,SV,COLORMATIC SUN,-,4100,-,-,N,Y,Y,Y,N,Y,N,N,Y
MULTIGRESSIV BIG NORM MONO,Almost the best lens in Rodenstock's single vision range. May be affected by spectacle frame tilt.,SV,POLARISED,-,4000,-,-,N,Y,Y,Y,N,Y,N,N,Y
